จังหวัด,โรคสมองเสื่อม,ติดแอลกอฮอล์,ติดยาบ้า (Amphetamine),ติดสารเสพติดอื่นๆ,โรคจิตเภท,โรคจิตอื่นๆ,โรคอารมณ์สองขั้ว,โรคชึมเศร้า,โรควิตกกังวล,ความบกพร่องทางสติปัญญา,ความบกพร่องทางการเรียนรู้,โรคออทิสติก,โรคสมาธิสั้น,พยามยามฆ่าตัวตาย (การตั้งใจทำร้ายตนเอง),ผู้ป่วยติดเกมส์ในผู้ใหญ่ (15 ปีขึ้นไป),ผู้ป่วยติดเกมส์ในเด็ก (อายุต่ำกว่า 15 ปี),โรคทางจิตเวชอื่นๆ,โรคลมชัก,รวม,ปี,pro_code
กำแพงเพชร,165,1059,645,2383,1068,438,69,2603,1579,102,230,58,332,277,0,1,3602,1200,15811,2563,62
ตาก,318,1634,634,1507,1845,498,82,2509,2146,197,545,195,730,286,1,0,1897,1745,16769,2563,63
สุโขทัย,81,624,482,489,891,160,20,3030,735,73,53,26,47,180,0,0,1275,369,8535,2563,64
พิษณุโลก,103,1327,306,4619,746,182,14,4233,706,78,32,28,51,285,0,1,1773,456,14940,2563,65
พิจิตร,409,468,168,183,1244,420,74,2365,1278,126,201,50,190,128,0,2,3765,700,11771,2563,66
เพชรบูรณ์,272,930,1146,1044,2133,888,100,3857,2055,354,366,162,518,261,0,4,3828,1135,19053,2563,67
ราชบุรี,297,443,1050,474,1318,497,166,2995,1637,120,162,85,429,269,1,0,3141,1070,14154,2563,70
กาญจนบุรี,92,1680,393,7400,687,162,18,2513,545,64,53,59,212,431,0,1,2132,680,17122,2563,71
สุพรรณบุรี,155,199,357,1296,774,183,25,3650,711,61,38,47,159,410,0,2,2133,530,10730,2563,72
นครปฐม,480,316,435,797,1453,499,230,2916,1710,272,176,220,814,311,2,13,3428,1243,15315,2563,73
สมุทรสาคร,411,355,167,189,884,341,136,1913,1318,282,511,262,1111,99,1,31,1962,739,10712,2563,74
สมุทรสงคราม,26,10,5,16,143,13,11,500,437,21,11,26,42,55,0,1,873,27,2217,2563,75
เพชรบุรี,187,145,646,268,1079,183,119,1915,1036,140,121,143,783,193,0,0,2152,826,9936,2563,76
ประจวบคีรีขันธ์,315,437,912,562,1601,301,191,2131,1636,318,199,216,742,179,2,1,1718,1233,12694,2563,77
นครศรีธรรมราช,314,495,1630,1898,2687,890,110,5529,4206,194,375,168,730,399,1,2,5631,1474,26733,2563,80
กระบี่,110,119,348,445,1452,615,156,1579,1405,267,218,280,706,93,0,0,915,962,9670,2563,81
พังงา,42,159,333,264,650,159,36,1627,548,25,13,12,35,87,0,0,626,259,4875,2563,82
ภูเก็ต,216,162,126,347,616,228,114,1336,869,140,120,300,638,82,2,2,967,719,6984,2563,83
สุราษฎร์ธานี,476,647,882,1445,1757,533,144,4467,3265,468,648,477,1846,441,0,6,3579,2210,23291,2563,84
ระนอง,68,125,214,148,423,147,44,946,514,47,5,54,143,70,0,0,1064,365,4377,2563,85
ชุมพร,155,258,612,552,1066,368,141,1468,1337,202,75,166,601,92,0,1,1446,847,9387,2563,86
สงขลา,678,1013,1799,20750,3124,1690,568,5789,5903,472,906,285,1882,559,1,3,5833,2448,53703,2563,90
สตูล,62,66,124,966,689,266,83,1462,1304,51,70,34,164,92,0,0,1025,419,6877,2563,91
ตรัง,21,21,49,298,416,90,8,3364,385,12,10,9,36,266,0,0,512,142,5639,2563,92
พัทลุง,241,311,465,614,1370,595,411,2718,3057,71,90,80,301,115,1,1,3114,939,14494,2563,93
ปัตตานี,114,105,255,3016,1378,224,115,2301,1604,95,66,61,156,66,0,0,1148,455,11159,2563,94
ยะลา,23,15,31,153,300,66,26,1864,731,19,10,12,14,61,0,0,658,112,4095,2563,95
นราธิวาส,106,140,529,13803,2674,1010,128,2268,2142,206,262,97,302,79,0,2,2665,1118,27531,2563,96
ไม่ระบุจังหวัด,30687,79175,102924,83820,145676,56179,6569,88533,171263,20677,18660,17140,55048,5318,110,590,198160,108667,1189196,2563,0
รวม,54718,217656,172012,302814,283065,104911,17845,355537,356988,38118,34680,30199,100888,23510,216,1234,398852,194367,2687610,2563,0
กรุงเทพมหานคร,3025,1883,1974,1686,13255,2612,2613,13460,12185,2031,905,2526,4501,539,95,210,14174,5088,77674,2564,10
สมุทรปราการ,726,999,1192,360,3810,907,591,5313,4340,1383,876,2154,3755,425,15,136,10707,2507,37689,2564,11
นนทบุรี,992,657,491,592,3164,670,356,5293,4403,832,342,683,1536,222,23,47,5940,1988,26243,2564,12
