จังหวัด,โรคสมองเสื่อม,ติดแอลกอฮอล์,ติดยาบ้า (Amphetamine),ติดสารเสพติดอื่นๆ,โรคจิตเภท,โรคจิตอื่นๆ,โรคอารมณ์สองขั้ว,โรคชึมเศร้า,โรควิตกกังวล,ความบกพร่องทางสติปัญญา,ความบกพร่องทางการเรียนรู้,โรคออทิสติก,โรคสมาธิสั้น,พยามยามฆ่าตัวตาย (การตั้งใจทำร้ายตนเอง),ผู้ป่วยติดเกมส์ในผู้ใหญ่ (15 ปีขึ้นไป),ผู้ป่วยติดเกมส์ในเด็ก (อายุต่ำกว่า 15 ปี),โรคทางจิตเวชอื่นๆ,โรคลมชัก,รวม,ปี,pro_code
เพชรบูรณ์,293,1478,1894,1709,3631,1591,246,4438,2931,514,298,285,823,101,0,6,5980,2238,28456,2565,67
ราชบุรี,374,820,870,1309,2300,1058,577,4765,3432,293,531,588,1568,89,15,43,4642,2609,25883,2565,70
กาญจนบุรี,363,1731,1689,8691,2502,831,346,4205,2741,310,251,328,1013,106,0,4,8648,2626,36385,2565,71
สุพรรณบุรี,632,854,1275,1590,2432,820,290,4808,3095,327,229,253,1093,140,3,5,5716,2607,26169,2565,72
นครปฐม,627,632,379,2648,1963,912,420,3089,2756,201,236,283,1087,99,4,12,4844,2385,22577,2565,73
สมุทรสาคร,645,622,286,386,1235,673,294,3688,2838,323,686,557,1968,118,1,44,2708,1461,18533,2565,74
สมุทรสงคราม,122,76,217,1657,714,178,75,834,757,48,41,87,371,16,0,0,962,420,6575,2565,75
เพชรบุรี,190,286,676,347,1695,314,172,2395,1181,124,130,152,774,112,5,2,2333,1233,12121,2565,76
ประจวบคีรีขันธ์,347,516,986,1021,2101,507,337,3042,2000,418,197,361,1024,93,2,1,1781,1667,16401,2565,77
นครศรีธรรมราช,857,811,1950,2582,5481,3352,1071,5265,8392,532,613,545,2181,126,1,19,9111,4540,47429,2565,80
กระบี่,166,163,436,643,1888,764,203,1578,1561,222,144,288,544,35,1,2,725,1257,10620,2565,81
พังงา,196,304,505,598,1248,357,170,1920,1388,82,158,59,420,36,10,1,1569,720,9741,2565,82
ภูเก็ต,398,247,175,752,793,505,541,1986,1814,215,194,586,1032,27,5,3,1280,1348,11901,2565,83
สุราษฎร์ธานี,899,1567,2833,4124,5592,2342,1021,6730,7951,570,349,291,1424,185,5,15,7299,3875,47072,2565,84
ระนอง,55,141,250,228,663,348,103,1665,986,58,8,145,268,14,2,0,850,532,6316,2565,85
ชุมพร,296,474,1103,1108,2091,986,373,2425,2385,270,143,288,942,55,0,3,3181,1918,18041,2565,86
สงขลา,1192,1755,2761,10638,5839,3143,1993,10432,10815,629,562,1125,3148,196,15,6,7991,4314,66554,2565,90
สตูล,127,90,178,822,1068,456,186,1844,2288,101,150,88,330,27,0,5,1581,735,10076,2565,91
ตรัง,315,885,879,3709,2445,1258,437,3900,3762,52,82,177,796,137,0,6,1689,2015,22544,2565,92
พัทลุง,271,409,772,834,1702,1064,533,3472,4115,104,239,129,633,79,1,8,3101,1398,18864,2565,93
ปัตตานี,189,2577,298,3247,2689,523,324,1956,2924,177,181,189,272,37,0,4,1831,1040,18458,2565,94
ยะลา,130,140,275,724,1793,548,310,2324,2484,165,163,253,495,17,0,7,2039,1195,13062,2565,95
นราธิวาส,124,108,263,6128,2952,1030,161,3122,2773,189,229,196,522,55,1,16,2459,1376,21704,2565,96
ไม่ระบุจังหวัด,2192,27453,31588,18793,58258,7145,4210,8590,17032,2395,1824,3652,5509,615,13,121,17017,19929,226336,2565,0
รวม,44252,178323,134677,205055,314250,111279,40386,359737,326192,26053,24840,36692,103425,8048,394,1232,355448,204486,2474769,2565,0
กรุงเทพมหานคร,4495,3006,2601,4200,15415,3490,3545,17040,16454,2640,1188,3557,5853,1565,87,169,16369,6959,108633,2566,10
สมุทรปราการ,1249,1545,1235,1576,4884,1327,719,6786,6616,1783,1232,3363,5786,620,18,66,9089,3387,51281,2566,11
นนทบุรี,1581,925,651,1446,4127,970,1532,7373,6730,1028,485,1066,2240,592,15,30,9669,2823,43283,2566,12
ปทุมธานี,746,694,594,1666,3293,826,677,4459,3841,462,300,605,1078,277,9,17,6921,1768,28233,2566,13
พระนครศรีอยุธยา,783,1570,2965,2440,3073,1502,641,5160,4335,502,332,536,1213,624,4,8,5596,2254,33538,2566,14
อ่างทอง,476,988,895,1464,1220,248,180,2779,1472,260,140,338,513,196,1,3,2219,688,14080,2566,15
ลพบุรี,936,1381,1954,1402,2693,1154,287,4784,4695,487,787,605,1423,615,1,3,7010,2217,32434,2566,16
สิงห์บุรี,781,417,511,384,915,460,186,2298,2027,169,82,130,521,154,2,10,3438,634,13119,2566,17
ชัยนาท,987,635,1211,946,1628,620,130,3406,3807,240,76,171,462,246,9,11,7982,1327,23894,2566,18
สระบุรี,667,3136,813,1249,3391,706,430,4597,3705,579,700,489,1322,445,4,4,7142,2350,31729,2566,19
ชลบุรี,1174,2168,1808,2182,4769,2404,796,6848,7502,1021,556,1319,1795,1093,6,113,12328,5266,53148,2566,20
ระยอง,723,1166,1315,1941,2082,1477,586,4001,5763,223,176,360,853,682,6,14,5712,3462,30542,2566,21
จันทบุรี,668,1474,874,1676,2511,970,720,4136,3677,380,448,298,997,745,16,9,5086,2542,27227,2566,22
ตราด,279,950,658,961,996,505,192,1900,1487,170,350,131,415,189,2,2,2146,1262,12595,2566,23
ฉะเชิงเทรา,722,1538,1572,1888,2568,1128,470,3976,2810,535,422,378,1583,457,5,14,5531,2579,28176,2566,24
ปราจีนบุรี,455,1062,870,747,1717,504,200,1788,1855,237,103,192,552,291,1,3,3089,1639,15305,2566,25
นครนายก,308,500,790,1467,1076,209,147,949,1236,134,76,127,276,148,1,27,1692,795,9958,2566,26
สระแก้ว,520,2066,1574,1385,3334,1193,343,2508,4307,495,293,468,782,427,7,13,3611,1700,25026,2566,27
นครราชสีมา,3617,18088,5141,17849,11907,6158,1954,19230,16055,1996,760,1433,3856,2391,14,40,20654,8889,140032,2566,30
บุรีรัมย์,1644,9515,4990,4167,9535,3853,934,10105,7480,1291,638,538,3355,1221,6,22,9393,6907,75594,2566,31
สุรินทร์,1240,6939,3334,3923,7295,3435,387,10453,8212,594,350,510,2274,787,9,20,9253,4891,63906,2566,32
ศรีสะเกษ,1528,9701,5010,4106,8548,6122,656,9134,12552,919,297,602,2998,992,7,32,6679,5109,74992,2566,33
อุบลราชธานี,1684,7924,6353,6860,11774,4961,1021,11740,17222,1414,418,1217,5684,600,8,48,16156,8598,103682,2566,34
ยโสธร,410,1655,1782,1427,3208,1653,219,3112,2729,598,116,188,1106,175,2,7,2458,1804,22649,2566,35
ชัยภูมิ,1395,4890,5095,4688,5663,3598,552,8016,7363,548,371,510,1620,750,4,33,7879,3979,56954,2566,36
อำนาจเจริญ,345,1644,1638,818,2418,1113,227,2721,2814,248,205,240,1036,186,6,7,2685,1459,19810,2566,37
บึงกาฬ,251,1063,2911,1100,2018,826,138,1362,1508,122,35,200,363,301,1,41,2231,1213,15684,2566,38
หนองบัวลำภู,399,1543,1151,1164,2683,1011,172,2661,2453,225,96,149,374,222,0,2,2165,1544,18014,2566,39
ขอนแก่น,2594,6871,6801,6184,9256,4471,933,9267,14243,969,707,1089,2676,1184,16,71,13589,6340,87261,2566,40
อุดรธานี,1321,4174,5950,3486,8064,2571,802,5960,6998,677,264,664,970,592,5,12,8511,5186,56207,2566,41
เลย,611,2097,2734,1274,3181,1613,271,3134,5906,356,254,283,752,610,5,16,4430,2310,29837,2566,42
หนองคาย,407,1268,1539,1112,2194,1196,230,2113,2096,260,117,286,529,259,4,5,3906,1584,19105,2566,43
มหาสารคาม,1110,5256,3763,5849,3965,2903,453,5107,4396,411,205,423,1106,301,24,19,5247,3773,44311,2566,44
ร้อยเอ็ด,808,3766,3872,2632,7366,3550,323,5314,6334,499,167,571,1940,509,2,23,7392,3917,48985,2566,45
กาฬสินธุ์,757,2446,4145,2094,5765,4648,428,4488,7249,372,214,368,1115,560,11,18,6687,3283,44648,2566,46
สกลนคร,900,3483,3666,4548,6681,2312,516,5493,4475,476,193,375,985,590,4,130,7766,3792,46385,2566,47
นครพนม,616,2044,2380,1135,5083,1889,445,3108,4283,500,126,703,1466,387,3,26,4036,2369,30599,2566,48
มุกดาหาร,293,1272,1529,868,2435,1265,132,2788,1602,242,437,270,1178,126,12,0,1632,1303,17384,2566,49
เชียงใหม่,2141,8049,4712,8293,8254,2787,2024,17840,14227,1422,2532,2257,6725,1034,29,87,15759,7104,105276,2566,50
ลำพูน,936,2179,2070,1217,2204,603,440,6286,4067,411,1276,455,1578,379,3,13,6029,2436,32582,2566,51
ลำปาง,1310,2983,2672,1230,3279,1494,629,5414,7864,912,1723,701,3709,351,4,5,6761,3534,44575,2566,52
อุตรดิตถ์,301,926,1428,990,1107,403,140,2421,1294,194,233,140,675,186,1,1,2577,923,13940,2566,53
แพร่,449,1833,2808,1134,1861,632,311,2950,3283,174,352,341,553,330,2,5,3628,1550,22196,2566,54
น่าน,395,2589,2693,1207,1611,800,520,3715,4980,488,170,324,2229,347,9,8,4062,2129,28276,2566,55
พะเยา,705,2364,1457,1226,2503,974,455,5206,4122,387,398,484,1159,459,2,5,7541,2243,31690,2566,56
เชียงราย,1067,4961,4457,6540,5447,1723,744,10242,7826,628,549,668,2307,825,8,19,8317,4760,61088,2566,57
แม่ฮ่องสอน,159,1065,210,857,1037,332,160,3089,2329,144,174,196,455,254,1,16,2661,1022,14161,2566,58
นครสวรรค์,1706,2347,2223,1951,4382,2433,465,7192,7931,618,316,468,1865,873,4,21,10561,3628,48984,2566,60
อุทัยธานี,633,1481,2114,1170,1251,731,138,2303,1982,309,79,120,415,234,4,3,5157,1256,19380,2566,61
กำแพงเพชร,602,2836,1744,2806,2243,909,303,3274,3056,314,256,267,862,537,1,8,4883,2601,27502,2566,62
ตาก,621,1835,1413,1335,2543,831,385,3620,3286,270,891,391,856,355,8,0,3301,2137,24078,2566,63
สุโขทัย,842,1427,3104,1237,2388,721,337,4461,2807,367,225,252,384,335,0,13,4165,1982,25047,2566,64
พิษณุโลก,1809,2228,3113,1646,3508,986,578,5425,4685,667,641,571,2103,541,2,5,9813,2827,41148,2566,65
พิจิตร,1164,1064,1241,698,2226,1104,273,3183,2822,258,514,240,767,327,0,4,4262,1524,21671,2566,66
เพชรบูรณ์,1088,2524,3497,2479,4458,1872,402,5417,4227,799,537,488,1281,523,3,17,6940,3045,39597,2566,67
ราชบุรี,1226,1347,1455,1925,2863,1397,763,5932,5046,679,859,720,1917,572,37,60,7625,3055,37478,2566,70
กาญจนบุรี,697,1341,2077,3140,2431,822,362,4151,3166,350,357,346,924,725,2,10,9052,2614,32567,2566,71
สุพรรณบุรี,1245,1550,3243,2533,3109,1113,433,5872,4088,599,362,370,1398,729,5,14,7158,3356,37177,2566,72
นครปฐม,1157,975,1097,1860,3546,1274,808,4980,4722,547,455,612,1915,552,8,33,6095,3140,33776,2566,73
สมุทรสาคร,500,567,505,523,1374,588,334,3024,2397,362,535,483,1389,227,1,48,2792,1080,16729,2566,74
สมุทรสงคราม,208,108,185,1522,691,209,106,750,859,59,76,133,378,94,2,5,910,480,6775,2566,75
เพชรบุรี,356,449,1309,616,2101,505,261,3066,1839,230,202,278,1024,462,11,6,3030,1697,17442,2566,76
ประจวบคีรีขันธ์,622,711,1676,1415,2613,597,422,3355,2597,560,244,475,1183,407,3,3,2662,2100,21645,2566,77
นครศรีธรรมราช,1800,1559,3994,4812,8045,4719,1647,8657,12585,963,930,711,2837,1047,3,33,13684,6073,74099,2566,80
กระบี่,297,324,1021,1090,2407,1050,350,2227,2543,374,237,392,812,256,2,6,1910,1703,17001,2566,81
พังงา,366,447,1079,1043,1531,567,257,2342,2025,221,327,139,625,157,11,4,2574,1135,14850,2566,82
ภูเก็ต,526,470,402,1387,1164,740,711,2439,2591,295,281,740,1336,210,9,7,3248,1662,18218,2566,83
สุราษฎร์ธานี,1343,2227,4496,5404,5763,2650,942,7726,9815,1049,819,912,3136,1171,9,21,10514,5137,63134,2566,84
ระนอง,155,216,416,398,706,316,135,1645,1185,133,27,170,306,130,2,0,1219,648,7807,2566,85
ชุมพร,422,675,1914,1729,2289,1128,449,2793,2999,376,153,257,818,295,3,4,3781,1997,22082,2566,86
สงขลา,1728,1812,3050,5954,6396,3518,1813,10544,12824,1177,1428,1239,4199,1864,16,17,12292,5892,75763,2566,90
สตูล,309,156,523,3776,1524,666,324,2551,3318,195,251,197,540,151,0,6,2544,1037,18068,2566,91
ตรัง,538,1303,1440,3356,3098,1660,619,4924,5154,226,139,249,1042,626,0,7,2676,2582,29639,2566,92
พัทลุง,585,645,1344,1231,2419,1517,781,4277,5613,174,413,183,742,327,3,10,4263,1719,26246,2566,93
ปัตตานี,353,409,632,2785,3835,799,485,2843,5015,344,417,294,577,144,0,4,3151,1547,23634,2566,94
ยะลา,270,279,494,1281,2317,811,413,3269,4064,322,259,326,766,308,0,29,3346,1603,20157,2566,95
นราธิวาส,259,226,659,6472,3605,1288,283,4084,4513,357,360,322,712,249,2,27,3779,1881,29078,2566,96
ไม่ระบุจังหวัด,1075,3816,2475,4998,6911,2549,619,6062,10214,1227,677,763,1699,794,6,18,13430,4199,61532,2566,0
รวม,71445,185163,173117,199570,299771,128659,44195,399645,408249,43243,34390,43426,121245,41496,553,1690,485531,222940,2904328,2566,0
